Os Rapazes da Noite,7.3,{"TVC 4"\,"TVC 4 HD"},27-11-2019 18:00 28-11-2019 10:00
Para Sempre,7.3,{"TVC 2"},29-11-2019 18:15 30-11-2019 08:30
RocknRolla: A Quadrilha,7.3,{"FOX MOVIES"\,"FOX MOVIES HD"},28-11-2019 05:11
Ruptura Explosiva,7.3,{CINEMUNDO\,"CINEMUNDO HD"},25-11-2019 19:05
Só os Amantes Sobrevivem,7.3,{"FOX MOVIES"\,"FOX MOVIES HD"},26-11-2019 08:35 30-11-2019 07:07
Sweeney Todd: O Terrível Barbeiro de Fleet Street,7.3,{"TVC 4"\,"TVC 4 HD"},25-11-2019 19:30 26-11-2019 06:15
The Walk: O Desafio,7.3,{"AXN BLACK"\,"AXN BLACK HD"},25-11-2019 04:44
A Flor do Cacto,7.2,{"TVC 2"},26-11-2019 18:20 27-11-2019 07:20
A Idade de Adaline,7.2,{"HOLLYWOOD "\,"HOLLYWOOD HD"},29-11-2019 14:40
A Morte de Estaline,7.2,{CINEMUNDO\,"CINEMUNDO HD"},29-11-2019 14:40
Arma Mortífera 2,7.2,{"FOX MOVIES"\,"FOX MOVIES HD"},26-11-2019 21:15 27-11-2019 11:00
Assalto ao Aeroporto,7.2,{"FOX MOVIES"\,"FOX MOVIES HD"},28-11-2019 23:28 29-11-2019 12:44 30-11-2019 17:41
Bom Polícia\, Melhor Ladrão,7.2,{CINEMUNDO\,"CINEMUNDO HD"},25-11-2019 12:10
Carol,7.2,{ARTE},24-11-2019 19:55 29-11-2019 12:40
Cold Mountain,7.2,{AMC\,"AMC HD"},28-11-2019 18:00
Estranhos Prazeres,7.2,{HOT},29-11-2019 09:39
Estranhos Prazeres,7.2,{"HOT HD"},29-11-2019 10:39
Hatari,7.2,{"HOLLYWOOD "\,"HOLLYWOOD HD"},26-11-2019 02:25
Hostis,7.2,{"TVC 1"},25-11-2019 17:40 26-11-2019 10:05
Momento da Verdade,7.2,{"AXN BLACK"\,"AXN BLACK HD"},24-11-2019 02:26 26-11-2019 09:12
Paddington,7.2,{"HOLLYWOOD "\,"HOLLYWOOD HD"},30-11-2019 10:10
Para Sempre,7.2,{"TVC 2"},29-11-2019 18:15 30-11-2019 08:30
Por Favor Não Me Mordam o Pescoço,7.2,{"TVC 2"},26-11-2019 14:45 27-11-2019 05:35
Sedução,7.2,{EUROCHANNEL\,"EUROCHANNEL HD"},25-11-2019 08:10 27-11-2019 22:15 28-11-2019 12:20 30-11-2019 05:00
The Equalizer - Sem Misericórdia,7.2,{AXN\,"AXN HD"},26-11-2019 04:37 28-11-2019 14:46
Ultra Secreto,7.2,{"TVC 4"\,"TVC 4 HD"},24-11-2019 09:05 25-11-2019 17:55
Uma Mulher Fantástica,7.2,{"RTP 2"},25-11-2019 23:59
Um Ritmo Perfeito,7.2,{AMC\,"AMC HD"},29-11-2019 22:10 30-11-2019 14:33
Vice,7.2,{"TVC 1"},25-11-2019 21:30 26-11-2019 13:55
16 Primaveras,7.1,{"RTP MEMÓRIA"},30-11-2019 15:00
3 Rostos,7.1,{"TVC 2"},28-11-2019 00:10
A Gaivota,7.1,{"TVC 1"},30-11-2019 04:05
A Paixão de Shakespeare,7.1,{CINEMUNDO\,"CINEMUNDO HD"},26-11-2019 13:10 27-11-2019 08:45
Crepúsculo,7.1,{"FOX LIFE"\,"FOX LIFE HD"},29-11-2019 22:20 30-11-2019 17:46
Die Hard 4.0 - Viver ou Morrer,7.1,{"HOLLYWOOD "\,"HOLLYWOOD HD"},24-11-2019 17:35 27-11-2019 04:05
Ela é Fácil,7.1,{"AXN BLACK"\,"AXN BLACK HD"},27-11-2019 22:45 29-11-2019 13:45
Moulin Rouge,7.1,{"HOLLYWOOD "\,"HOLLYWOOD HD"},25-11-2019 09:15
Nunca Me Deixes,7.1,{"HOLLYWOOD "\,"HOLLYWOOD HD"},28-11-2019 11:50
O Dia Antes do Fim,7.1,{"AXN WHITE"\,"AXN WHITE HD"},25-11-2019 01:15
O Dia do Juízo Final,7.1,{SYFY\,"SYFY HD"},24-11-2019 15:40 27-11-2019 15:55
O Feitiço da Lua,7.1,{"FOX MOVIES"\,"FOX MOVIES HD"},24-11-2019 09:35
O Nosso Amor de Ontem,7.1,{"TVC 2"},25-11-2019 00:10
O Príncipe do Egipto,7.1,{CINEMUNDO\,"CINEMUNDO HD"},24-11-2019 09:15 25-11-2019 08:25
Os Acusados,7.1,{"TVC 3"\,"TVC 3 HD"},26-11-2019 04:40 26-11-2019 20:35
Sem Fronteiras,7.1,{"GLOBO NOW HD"},29-11-2019 23:12 30-11-2019 08:27
Spirit - Espírito Selvagem,7.1,{CINEMUNDO\,"CINEMUNDO HD"},29-11-2019 13:10 30-11-2019 10:50
A Dama Marcada,7,{"TVC 2"},28-11-2019 12:45
A Mãe é que Sabe,7,{"AXN WHITE"\,"AXN WHITE HD"},24-11-2019 03:12 25-11-2019 14:28 27-11-2019 00:19
As Cinzas Brancas Mais Puras,7,{"TVC 2"},28-11-2019 01:55 28-11-2019 19:40
Caminhos,7,{"RTP 2"},24-11-2019 17:17
Este Coração Traiçoeiro,7,{"TVC 2"},30-11-2019 03:25 30-11-2019 16:00
Ficheiros Secretos,7,{"HOLLYWOOD "\,"HOLLYWOOD HD"},28-11-2019 17:30
Hora de Ponta,7,{"FOX MOVIES"\,"FOX MOVIES HD"},24-11-2019 21:15 30-11-2019 12:20
O Estrangeiro,7,{CINEMUNDO\,"CINEMUNDO HD"},24-11-2019 00:15
O Maluco do Golfe,7,{"TVC 3"\,"TVC 3 HD"},29-11-2019 01:55 29-11-2019 12:10
Opinião Pública,7,{"SIC NOTICIAS"},25-11-2019 11:10 26-11-2019 11:10 27-11-2019 11:10 28-11-2019 11:10 29-11-2019 11:00
O Rei Leão,7,{"HOLLYWOOD "\,"HOLLYWOOD HD"},30-11-2019 11:45
Os Agentes do Destino,7,{AMC\,"AMC HD"},24-11-2019 22:10 26-11-2019 15:06
O Último Verão,7,{"RTP AÇORES"},23-11-2019 23:50
Tudo em Família,7,{"TVC 3"\,"TVC 3 HD"},29-11-2019 22:30 30-11-2019 10:35
48 Horas,6.9,{"HOLLYWOOD "\,"HOLLYWOOD HD"},25-11-2019 14:35
A Família Addams,6.9,{AMC\,"AMC HD"},24-11-2019 18:58 25-11-2019 16:19
Alice,6.9,{"RTP 2"},24-11-2019 00:20
Chefes Intragáveis,6.9,{CINEMUNDO\,"CINEMUNDO HD"},24-11-2019 16:20
Crank - Veneno no Sangue,6.9,{CINEMUNDO\,"CINEMUNDO HD"},25-11-2019 00:25 28-11-2019 22:45
Doce Novembro,6.9,{"FOX MOVIES"\,"FOX MOVIES HD"},24-11-2019 07:41
Em Guerra,6.9,{"TVC 1"},29-11-2019 06:25
Em Guerra,6.9,{"TVC 2"},29-11-2019 13:00
Fahrenheit 11/9,6.9,{"TVC 2"},26-11-2019 23:40
Frenético,6.9,{"TVC 2"},29-11-2019 23:40
Jogos Quase Perigosos,6.9,{"AXN BLACK"\,"AXN BLACK HD"},26-11-2019 23:32 28-11-2019 14:30
No Coração do Mar,6.9,{"HOLLYWOOD "\,"HOLLYWOOD HD"},24-11-2019 15:40
Ocean's Thirteen,6.9,{"AXN BLACK"\,"AXN BLACK HD"},29-11-2019 19:11
O Homem Duplicado,6.9,{"AXN BLACK"\,"AXN BLACK HD"},25-11-2019 01:02
O Meu Primeiro Beijo,6.9,{SIC},30-11-2019 15:50
O Último Beijo,6.9,{"FOX MOVIES"\,"FOX MOVIES HD"},26-11-2019 06:58 28-11-2019 07:32 29-11-2019 09:01
Sangue Quente,6.9,{"HOLLYWOOD "\,"HOLLYWOOD HD"},24-11-2019 04:15
Sobre Rodas,6.9,{"AXN WHITE"\,"AXN WHITE HD"},29-11-2019 22:10
Tão Só o Fim do Mundo,6.9,{"RTP 2"},29-11-2019 23:19
Uma Questão de Honra,6.9,{CMTV},27-11-2019 02:30
Viúvas,6.9,{"TVC 1"},23-11-2019 23:20
4 Quartos,6.8,{AMC\,"AMC HD"},28-11-2019 20:32
Ali,6.8,{CINEMUNDO\,"CINEMUNDO HD"},29-11-2019 07:15
As Boas Maneiras,6.8,{"SIC RADICAL"},28-11-2019 23:49
Ases pelos Ares,6.8,{"TVC 4"\,"TVC 4 HD"},26-11-2019 12:10 27-11-2019 05:15
Caçadores na Noite,6.8,{"TVC 4"\,"TVC 4 HD"},24-11-2019 14:30 25-11-2019 04:10
Crónicas,6.8,{TVEi},24-11-2019 23:05 30-11-2019 00:55
Green Zone: Combate pela Verdade,6.8,{AMC\,"AMC HD"},26-11-2019 20:17
Jogo Limpo,6.8,{"HOLLYWOOD "\,"HOLLYWOOD HD"},26-11-2019 21:30
Nunca Estiveste Aqui,6.8,{"TVC 4"\,"TVC 4 HD"},26-11-2019 04:40
O Senhor Babadook,6.8,{"SIC RADICAL"},25-11-2019 23:49
Os Incorruptíveis Contra a Droga 2,6.8,{"FOX MOVIES"\,"FOX MOVIES HD"},29-11-2019 14:39
Para Além das Cinzas,6.8,{FOX\,"FOX HD"},23-11-2019 22:30 27-11-2019 23:05 30-11-2019 01:46
Quatro Irmãos,6.8,{"TVC 4"\,"TVC 4 HD"},24-11-2019 18:00 25-11-2019 07:40
Sem Saída,6.8,{"TVC 4"\,"TVC 4 HD"},24-11-2019 04:05 25-11-2019 21:30
The Grey - A Presa,6.8,{"HOLLYWOOD "\,"HOLLYWOOD HD"},23-11-2019 22:25
A Busca,6.7,{CINEMUNDO\,"CINEMUNDO HD"},30-11-2019 00:35
A Família Addams 2,6.7,{AMC\,"AMC HD"},24-11-2019 20:37 26-11-2019 16:50
A Indecente Mary e o Louco Larry,6.7,{"FOX MOVIES"\,"FOX MOVIES HD"},28-11-2019 19:41 29-11-2019 16:36
Anjos e Demónios,6.7,{AXN\,"AXN HD"},30-11-2019 00:04
Arma Mortífera 3,6.7,{"FOX MOVIES"\,"FOX MOVIES HD"},27-11-2019 21:18 28-11-2019 10:39
A Testemunha,6.7,{AMC\,"AMC HD"},23-11-2019 18:21
